exp_no,word,kana,concept,meaning,status,foil,order
2,modokasyii,もどかしい,ANNOYED/IMPATIENT,ANNOYED|IMPATIENT,prosaic,tyewenura|seyezuna|syeheruma,55
2,tsurai,つらい,SAD,SAD|GLUM,prosaic,hihua|wikyua|yikua,56
2,akaanakaQta,あかあなかった,DARK,DARK|DIM,prosaic,unusyunuhu|uzukuzuwu|uruhuruyu,57
2,geNki,げんき,LIVELY (ENERGETIC),LIVELY|ENERGETIC,prosaic,roQna|soQza|tyoQra,58
2,deQkai,でっかい,COARSE,ROUGH|GRITTY|COARSE,prosaic,wonua|yozua|horua,59
2,kara,から,EMPTY,EMPTY,prosaic,nuhu|zukyu|ruku,60
2,hasyikai,はしかい,ITCHING,ITCHING|PRICKLING,prosaic,nuranua|dzunazua|zyumarua,61
3,yoroyoro,よろよろ,WOBBLING,WOBBLING,iconic,tehe|tyekye|tseke,62
3,fuwafuwa,ふわふわ,SOFT,FLUFFY,iconic,rizyu|gityu|nitsu,63
3,katai,かたい,HARD,HARD,iconic,nuhua|zuwua|ruyua,64
3,pyoNpyoN,ぴょんぴょん,HOPPING,BOUNCING|HOPPING,iconic,neQ|zeQ|reQ,65
3,hisohiso,ひそひそ,WHISPERING,WHISPERING,iconic,nake|dzame|zyage,66
3,yawakoi,やわこい,SOFT,SOFT|SQUISHY,iconic,tuzyunea|tyutyuzea|tsutsurea,67
3,nigai,にがい,ACRID (TASTE),ACRID (taste)|BITTER (taste),iconic,syarua|kasua|hatyua,68
3,semai,せまい,CRAMPED,CRAMPED|TIGHT,iconic,kotyua|mosua|gosyua,69
3,akarui,あかるい,BRIGHT,BRIGHT|SUNNY,iconic,unuhia|uzukyia|urukia,70
3,betabeta,べたべた,STICKY,STICKY|GOOEY,iconic,tyohu|howu|syoyu,71
3,netyanetya,ねちゃねちゃ,STICKY,STICKY|GOOEY,iconic,syowu|koyu|hogu,72
3,zyiNzyiN,じんじん,POUNDING (HEAD),POUNDING (e.g. headache)|THROBBING (e.g. headache),iconic,maQ|waQ|haQ,73
3,mukamuka,むかむか,ANNOYED/IMPATIENT,ANNOYED|IMPATIENT,iconic,tyinu|sizu|syiru,74
3,tyikatyika,ちかちか,STINGING (PAIN),"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)",iconic,wanu|yazu|garu,75
3,yagurasyika,やぐらしか,NOISY,LOUD|NOISY,iconic,turihuranu|tyusikyunazu|tsutyikumaru,76
3,dzugedzuge,づげづげ,RUDE,RUDE|ARROGANT,iconic,wiro|yiso|hityo,77
3,syibareru,しばれる,COLD (WEATHER),COLD|CHILLY,iconic,ratyuhohi|nahukyokyi|masyukoki,78
3,syizukaya,しずかや,QUIET,QUIET,iconic,raginutu|nakyizutyu|makirutsu,79
3,yaoi,やおい,SOFT,SOFT|SQUISHY,iconic,tuea|tyuea|tsuea,80
3,kaQtarii,かったりい,EXHAUSTED,EXHAUSTED|TIRED|WEARY,iconic,nuhuha|zuwukya|ruyuka,81
3,booQ,ぼおっ,FUZZY,FUZZY|BLURRY|HAZY,iconic,tyeN|heN|syeN,82
3,igai,いがい,BIG,BIG|MASSIVE|LARGE|HUGE,prosaic,arua|asua|atyua,83
3,hau,はう,CRAWL,CRAWL|CREEP,prosaic,nui|dzui|zyui,84
3,kitsuka,きつか,EXHAUSTED,EXHAUSTED|TIRED|WEARY,prosaic,nahinu|zawizu|rayiru,85
3,maNpuku,まんぷく,STUFFED (FULL OF FOOD),STUFFED (from eating too much)|FULL (from eating),prosaic,tyuQsyini|suQwizi|syuQyiri,86
3,koi,こい,STRONG (TASTE),RICH (taste)|STRONG (taste),prosaic,nea|zea|rea,87
3,miQtomonai,みっともない,SHABBY,SCRUFFY|TATTY|RAGGEDY,prosaic,tyahetyesyua|sawesekua|syayesyehua,88
3,nigiyaka,にぎやか,NOISY,LOUD|NOISY,prosaic,syaratunu|kasatyuzu|hatyatsuru,89
3,hagai,はがい,ANNOYED/IMPATIENT,ANNOYED|IMPATIENT,prosaic,nurua|dzusua|zyutyua,90
3,kosui,こすい,CUNNING,CUNNING|SLY|SNEAKY,prosaic,nekia|zemia|regia,91
3,mabusyii,まぶしい,GLARING (OVERLY BRIGHT),GLARING (light)|BLINDING (light)|DAZZLING,iconic,tyutyira|suhina|syusyima,92
4,yoroyoro,よろよろ,WOBBLING,WOBBLING,iconic,tehe|tyekye|tseke,93
4,fuwafuwa,ふわふわ,SOFT,FLUFFY,iconic,rizyu|gityu|nitsu,94
4,katai,かたい,HARD,HARD,iconic,nuhua|zuwua|ruyua,95
4,pyoNpyoN,ぴょんぴょん,HOPPING,BOUNCING|HOPPING,iconic,neQ|zeQ|reQ,96
4,hisohiso,ひそひそ,WHISPERING,WHISPERING,iconic,nake|dzame|zyage,97
4,syikusyiku,しくしく,WATERY (EYES),WATERY (EYES)|BLEARY (EYES),iconic,rani|nazi|mari,98
4,motyokoi,もちょこい,TICKLING,TICKLING,iconic,tyewenea|seyezea|syegerea,99
4,ookii,おおきい,BIG,BIG|MASSIVE|LARGE|HUGE,iconic,ena|eza|era,100
4,tsuuN,つうん,RINGING,RINGING (e.g. a ringing sound in your ears),iconic,hiQ|wiQ|yiQ,101
4,yaQkiri,やっきり,ANNOYED/IMPATIENT,ANNOYED|IMPATIENT,iconic,tunaha|tyuzakya|tsuraka,102
4,kudoi,くどい,OILY/HEAVY (FOOD),OILY/HEAVY (food),iconic,niwea|ziyea|rihea,103
4,paNpaN,ぱんぱん,STUFFED (FULL OF FOOD),STUFFED (from eating too much)|FULL (from eating),iconic,syuQ|wuQ|yuQ,104
4,uzyauzya,うじゃうじゃ,SHAKING,SHAKING|TREMBLING,iconic,imu|iwu|ihu,105
4,syaNsyaN,しゃんしゃん,LIVELY (ENERGETIC),LIVELY|ENERGETIC,iconic,ruQ|nuQ|muQ,106
4,kurai,くらい,DARK,DARK|DIM,iconic,nihua|zikyua|rikua,107
4,kutyii,くちい,STUFFED (FULL OF FOOD),STUFFED (from eating too much)|FULL (from eating),iconic,niwa|ziya|riga,108
4,kutakuta,くたくた,EXHAUSTED,EXHAUSTED|TIRED|WEARY,iconic,nihu|ziwu|riyu,109
4,karai,からい,SALTY,SALTY|BRINY (taste),iconic,nuhua|zukyua|rukua,110
4,dotsuku,どつく,RAP (AT THE DOOR),RAP (at the door)|KNOCK (at the door),iconic,wehini|yewizi|heyiri,111
4,nurunuru,ぬるぬる,SLIMY,SLIPPERY|SLICK,iconic,syihi|kikyi|hiki,112
4,neranera,ねらねら,STICKY,STICKY|GOOEY,iconic,syohu|kokyu|hoku,113
4,hedzune,へづね,SAD,SAD|GLUM,prosaic,nowisyo|dzoyiko|zyohiho,114
4,notaru,のたる,CRAWL,CRAWL|CREEP,prosaic,syehuhi|kewukyi|heyuki,115
4,egui,えぐい,ACRID (TASTE),ACRID (taste)|BITTER (taste),prosaic,oria|osia|otyia,116
4,hasyikai,はしかい,PRICKLING,PRICKLING|TINGLING,prosaic,nuranua|dzunazua|zyumarua,117
4,yogoreru,よごれる,WET,WET|SOGGY|DAMP,prosaic,terehohi|tyesekyokyi|tsetyekoki,118
4,mawaru,まわる,ROLL,ROLL|SPIN,prosaic,tyuzyuhi|sutyukyi|syutsuki,119
4,syetsu,しぇつ,EXHAUSTED,EXHAUSTED|TIRED|WEARY,prosaic,rohi|nowi|moyi,120
4,erai,えらい,EXHAUSTED,EXHAUSTED|TIRED|WEARY,prosaic,ohua|okyua|okua,121
4,kowai,こわい,HARD,HARD,prosaic,nezyua|zetyua|retsua,122
4,netyanetya,ねちゃねちゃ,STICKY,STICKY|GOOEY,iconic,syowu|koyu|hogu,123
5,yoroyoro,よろよろ,WOBBLING,WOBBLING,iconic,tehe|tyekye|tseke,124
5,fuwafuwa,ふわふわ,SOFT,FLUFFY,iconic,rizyu|gityu|nitsu,125
5,katai,かたい,HARD,HARD,iconic,nuhua|zuwua|ruyua,126
5,pyoNpyoN,ぴょんぴょん,HOPPING,BOUNCING|HOPPING,iconic,neQ|zeQ|reQ,127
5,hisohiso,ひそひそ,WHISPERING,WHISPERING,iconic,nake|dzame|zyage,128
5,zarazara,ざらざら,COARSE,ROUGH|GRITTY|COARSE,iconic,guhu|kyukyu|kuku,129
5,boroboro,ぼろぼろ,SHABBY,SCRUFFY|TATTY|RAGGEDY,iconic,tyehe|hekye|syeke,130
5,piNpiN,ぴんぴん,LIVELY (ENERGETIC),LIVELY|ENERGETIC,iconic,syaQ|waQ|yaQ,131
5,keQko,けっこ,CLEAN,CLEAN|TIDY,iconic,none|zoze|rore,132
5,nebaneba,ねばねば,STICKY,STICKY|GOOEY,iconic,syotyu|kohu|hosyu,133
5,kiree,きれえ,CLEAN,CLEAN|TIDY,iconic,naho|zakyo|rako,134
5,netyinetyi,ねちねち,CLINGING,CLINGY,iconic,syowa|koya|hoga,135
5,subesube,すべすべ,SLICK,SLIPPERY|SMOOTH,iconic,kityo|miho|gisyo,136
5,boNyari,ぼんやり,FUZZY,FUZZY|BLURRY|HAZY,iconic,tyeQtuha|heQtyukya|syeQtsuka,137
5,kyuukutsuka,きゅうくつか,TIGHT,TIGHT|PINCHING,iconic,ninihinu|ziziwizu|ririyiru,138
5,aQtakee,あったけえ,WARM,WARM,iconic,uhuno|uwuzo|uyuro,139
5,iQpai,いっぱい,FULL (TO THE BRIM),FULL (to the brim)|FULL (to bursting),iconic,asyua|awua|ayua,140
5,musyimusyi,むしむし,HUMID,HUMID|MUGGY,iconic,tyira|sina|syima,141
5,kitsui,きつい,TIGHT,TIGHT|PINCHING,iconic,nahia|zawia|rayia,142
5,iraira,いらいら,PRICKLING,PRICKLING|TINGLING,iconic,ahu|akyu|aku,143
5,tyiQtyai,ちっちゃい,SMALL,SMALL|LITTLE|TINY,iconic,wawua|yayua|gagua,144
5,omotai,おもたい,FUZZY,FUZZY|BLURRY|HAZY,prosaic,etyehua|esewua|esyeyua,145
5,sabui,さぶい,COLD (WEATHER),COLD|CHILLY,prosaic,kutyia|muhia|gusyia,146
5,gomeku,ごめく,CRY,CRY|WAIL,prosaic,retyoni|sesozi|tyesyori,147
5,syiNdoi,しんどい,SLUGGISH,SLUGGISH|LETHARGIC,prosaic,raQwea|naQyea|maQhea,148
5,koragu,こらぐ,DRY,DRY|PARCHED,prosaic,nehuri|zekyusi|rekutyi,149
5,koe,こえ,SLUGGISH,SLUGGISH|LETHARGIC,prosaic,neo|zeo|reo,150
5,koenee,こえねえ,EXHAUSTED,EXHAUSTED|TIRED|WEARY,prosaic,neosyo|zeoko|reoho,151
5,karui,かるい,LIGHT,LIGHT|AIRY,prosaic,nuhia|zukyia|rukia,152
5,matsupoi,まつぽい,GLARING (OVERLY BRIGHT),GLARING (light)|BLINDING (light),prosaic,tyuhisyea|suwiwea|syuyiyea,153
5,betabeta,べたべた,STICKY,STICKY|GOOEY,iconic,tyohu|howu|syoyu,154
5,nebaneba,ねばねば,SLIMY,SLIPPERY|SLICK,iconic,syotyu|kohu|hosyu,155
5,nurunuru,ぬるぬる,SLIMY,SLIPPERY|SLICK,iconic,syihi|kikyi|hiki,112
6,yoroyoro,よろよろ,WOBBLING,WOBBLING,iconic,tehe|tyekye|tseke,156
6,fuwafuwa,ふわふわ,SOFT,FLUFFY,iconic,rizyu|gityu|nitsu,157
6,katai,かたい,HARD,HARD,iconic,nuhua|zuwua|ruyua,158
6,pyoNpyoN,ぴょんぴょん,HOPPING,BOUNCING|HOPPING,iconic,neQ|zeQ|reQ,159
6,hisohiso,ひそひそ,WHISPERING,WHISPERING,iconic,nake|dzame|zyage,160
6,zyitozyito,じとじと,HUMID,HUMID|MUGGY,iconic,mahe|wawe|haye,161
6,amai,あまい,SWEET,SWEET,iconic,utyua|usua|usyua,162
6,toNtoN,とんとん,POUNDING (HEART),POUNDING (e.g. headache)|THROBBING (e.g. headache),iconic,heQ|weQ|yeQ,163
6,kibui,きぶい,TIGHT,TIGHT|PINCHING,iconic,natyia|zahia|rasyia,164
6,koQsui,こっすい,CUNNING,CUNNING|SLY|SNEAKY,iconic,nekia|zemia|regia,165
6,nikoniko,にこにこ,SMILING,GRINNING|SMILING,iconic,syane|kaze|hare,166
6,tataku,たたく,RAP (AT THE DOOR),RAP (at the door)|KNOCK (at the door),iconic,huhuni|wuwuzi|yuyuri,167
6,kirikiri,きりきり,CRAMPING (STOMACH),CRAMPING (e.g. in stomach)|SPASMING (e.g. in stomach),iconic,naha|zakya|raka,168
6,nurui,ぬるい,LUKEWARM,LUKEWARM,iconic,syihia|kikyia|hikia,169
6,iQpai,いっぱい,STUFFED (FULL OF FOOD),STUFFED (from eating too much)|FULL (from eating),iconic,asyua|awua|ayua,170
6,piripiri,ぴりぴり,TINGLING,BURNING|TINGLING,iconic,syaha|wakya|yaka,171
6,naNgii,なんぎい,SLUGGISH,SLUGGISH|LETHARGIC,iconic,syuQra|kuQsa|huQtya,172
6,zuNzuN,ずんずん,THROBBING,THROBBING|PULSATING,iconic,giQ|kyiQ|kiQ,173
6,futoi,ふとい,THICK,THICK|FAT,iconic,rihea|giwea|niyea,174
6,iraira,いらいら,ANNOYED/IMPATIENT,ANNOYED|IMPATIENT,iconic,ahu|akyu|aku,175
6,syibasyiba,しばしば,STINGING (PAIN),"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)",iconic,ratyu|nahu|masyu,176
6,syibutoi,しぶとい,RUDE,RUDE|ARROGANT,prosaic,ratyihea|nahiwea|masyiyea,177
6,iteru,いてる,FREEZE,FREEZE,prosaic,ahohi|awokyi|ayoki,178
6,oodoona,おおどおな,RUDE,RUDE|ARROGANT,prosaic,ewesyu|eyeku|ehehu,179
6,mameda,まめだ,LIVELY (ENERGETIC),LIVELY|ENERGETIC,prosaic,tyutyowu|susoyu|syusyohu,180
6,yabuku,やぶく,TEAR,TEAR|RIP,prosaic,tutyini|tyuhizi|tsusyiri,181
6,sukosyi,すこし,A LITTLE BIT,A LITTLE|SLIGHTLY,prosaic,kinera|mizena|girema,182
6,uresyii,うれしい,GLAD,GLAD|HAPPY,prosaic,ihora|ikyona|ikoma,183
6,migotsu,みごつ,CLEAN,CLEAN|TIDY,prosaic,tyarehi|sasewi|syatyeyi,184
6,kakazyiru,かかじる,SCRATCH,SCRATCH,prosaic,nunumahi|zuzuwakyi|ruruhaki,185
7,yoroyoro,よろよろ,WOBBLING,WOBBLING,iconic,tehe|tyekye|tseke,186
7,fuwafuwa,ふわふわ,SOFT,FLUFFY,iconic,rizyu|gityu|nitsu,187
7,katai,かたい,HARD,HARD,iconic,nuhua|zuwua|ruyua,188
7,pyoNpyoN,ぴょんぴょん,HOPPING,BOUNCING|HOPPING,iconic,neQ|zeQ|reQ,189
7,hisohiso,ひそひそ,WHISPERING,WHISPERING,iconic,nake|dzame|zyage,190
7,guQtari,ぐったり,EXHAUSTED,EXHAUSTED|TIRED|WEARY,iconic,rihuha|siwukya|tyiyuka,191
7,syiiN,しいん,QUIET,QUIET,iconic,raQ|naQ|maQ,192
7,sui,すい,SOUR,SOUR|ACIDIC,iconic,kia|mia|gia,193
7,buruburu,ぶるぶる,SHAKING,SHAKING|TREMBLING,iconic,tyihi|hikyi|syiki,194
7,hieQda,ひえっだ,COLD (WEATHER),COLD|CHILLY,iconic,naowu|dzaoyu|zyaohu,195
7,syimeQpoi,しめっぽい,WET,WET|SOGGY|DAMP,iconic,ratyosyea|nasowea|masyoyea,196
7,zyarizyari,じゃりじゃり,COARSE,ROUGH|GRITTY|COARSE,iconic,muha|wukya|huka,197
7,nebutai,ねぶたい,SLEEPY,SLEEPY|DROWSY,iconic,syotyihua|kohiwua|hosyiyua,198
7,gaNgaN,がんがん,POUNDING (HEAD),POUNDING (e.g. headache)|THROBBING (e.g. headache),iconic,ruQ|suQ|tyuQ,199
7,syibityoo,しびちょお,COLD TO TOUCH,COLD|CHILLY,iconic,ratyawe|nahaye|masyage,200
7,yawarakai,やわらかい,SOFT,SOFT|SQUISHY,iconic,tuzyuhunua|tyutyukyuzua|tsutsukurua,201
7,hoQkori,ほっこり,EXHAUSTED,EXHAUSTED|TIRED|WEARY,iconic,neneha|dzezekya|zyereka,202
7,omoi,おもい,HEAVY,HEAVY,iconic,etyea|esea|esyea,203
7,hirihiri,ひりひり,PRICKLING,PRICKLING|TINGLING,iconic,naha|dzakya|zyaka,204
7,zyukuzyuku,じゅくじゅく,OOZING,OOZING|DRIBBLING|SEEPING OUT (e.g. liquid),iconic,mini|wizi|hiri,205
7,zomizomi,ぞみぞみ,(SPINE) TINGLING,(SPINE) TINGLING| SHIVERS (DOWN YOUR SPINE),iconic,getya|kyesa|kesya,206
7,hidoroQko,ひどろっこ,GLARING (OVERLY BRIGHT),GLARING (light)|BLINDING (light),prosaic,nawehene|dzayekyeze|zyahekere,207
7,erai,えらい,SLUGGISH,SLUGGISH|LETHARGIC,prosaic,ohua|okyua|okua,208
7,kyootee,きょおてえ,SCARY,SCARY|FRIGHTENING,prosaic,neho|zewo|reyo,209
7,hiratai,ひらたい,FLAT,FLAT|SMOOTH,prosaic,nahuhua|dzakyuwua|zyakuyua,210
7,tsumetee,つめてえ,COLD TO TOUCH,COLD|CHILLY,prosaic,hityoho|wisowo|yisyoyo,211
7,kamu,かむ,CHEW,CHEW,prosaic,nutyi|zusi|rusyi,212
7,kukuru,くくる,BIND,BIND|TIGHTEN,prosaic,ninihi|zizikyi|ririki,213
7,ibii,いびい,SMOKY,SMOKY,prosaic,atya|aha|asya,214
7,nomeQkoi,のめっこい,SLICK,SLIPPERY|SMOOTH,prosaic,syetyonea|kesozea|hesyorea,215
7,iraira,いらいら,PRICKLING,SCRATCHY,iconic,ahu|akyu|aku,143
8,yoroyoro,よろよろ,WOBBLING,WOBBLING,iconic,tehe|tyekye|tseke,216
8,fuwafuwa,ふわふわ,SOFT,FLUFFY,iconic,rizyu|gityu|nitsu,217
8,katai,かたい,HARD,HARD,iconic,nuhua|zuwua|ruyua,218
8,pyoNpyoN,ぴょんぴょん,HOPPING,BOUNCING|HOPPING,iconic,neQ|zeQ|reQ,219
8,hisohiso,ひそひそ,WHISPERING,WHISPERING,iconic,nake|dzame|zyage,220
8,syakiQ,しゃきっ,LIVELY (ENERGETIC),LIVELY|ENERGETIC,iconic,runaN|nuzaN|muraN,221
8,zyizyimusai,じじむさい,SHABBY,SCRUFFY|TATTY|RAGGEDY,iconic,mamatyikua|wawasimua|hahasyigua,222
8,urusai,うるさい,NOISY,LOUD|NOISY,iconic,ihikua|ikyimua|ikigua,223
8,yaNdagunaruQ,やんだぐなるっ,ANNOYED/IMPATIENT,ANNOYED|IMPATIENT,iconic,tuQwurisyuhiQ|tyuQyusikukyiQ|tsuQhutyihukiQ,224
8,pokapoka,ぽかぽか,WARM,WARM,iconic,syenu|wezu|yeru,225
8,guNnari,ぐんなり,EXHAUSTED,EXHAUSTED|TIRED|WEARY,iconic,riQsyuha|siQkukya|tyiQhuka,226
8,nuQka,ぬっか,HOT,HOT,iconic,syinu|kizu|hiru,227
8,zukizuki,ずきずき,THROBBING,THROBBING|PULSATING,iconic,gina|kyiza|kira,228
8,syobosyobo,しょぼしょぼ,STINGING (PAIN),"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)",iconic,retye|nehe|mesye,229
8,yarakai,やらかい,SOFT,SOFT|SQUISHY,iconic,tuhunua|tyukyuzua|tsukurua,230
8,karai,からい,SPICY,SPICY,iconic,nuhua|zukyua|rukua,231
8,moyamoya,もやもや,FUZZY,FUZZY|BLURRY|HAZY,iconic,tyetu|setyu|syetsu,232
8,nukui,ぬくい,WARM,WARM,iconic,syinia|kizia|hiria,233
8,kowa,こわ,SCARY,SCARY|FRIGHTENING,iconic,nezyu|zetyu|retsu,234
8,syikasyika,しかしか,ITCHING,ITCHING|PRICKLING,iconic,ranu|nazu|maru,235
8,syiNdo,しんど,EXHAUSTED,EXHAUSTED|TIRED|WEARY,iconic,raQwe|naQye|maQhe,236
8,kubiru,くびる,BIND,BIND|TIGHTEN,prosaic,nityahi|zihakyi|risyaki,237
8,kaii,かいい,PRICKLING,PRICKLING|TINGLING,prosaic,nua|zua|rua,238
8,hiru,ひる,DRY,DRY|PARCHED,prosaic,nahi|dzakyi|zyaki,239
8,tagee,たげえ,NOISY,LOUD|NOISY,prosaic,huro|wuso|yutyo,240
8,kusuguQtee,くすぐってえ,TICKLING,TICKLING,prosaic,nikiriho|zimisiwo|rigityiyo,241
8,arai,あらい,COARSE,ROUGH|GRITTY|COARSE,prosaic,uhua|ukyua|ukua,242
8,utsukusyi,うつくし,CLEAN,CLEAN|TIDY,prosaic,ihinira|iwizina|iyirima,243
8,ookii,おおきい,COARSE,ROUGH|GRITTY|COARSE,prosaic,ena|eza|era,244
8,kudoi,くどい,SALTY,SALTY|BRINY (taste),prosaic,niwea|ziyea|rihea,245
9,yoroyoro,よろよろ,WOBBLING,WOBBLING,iconic,tehe|tyekye|tseke,246
9,fuwafuwa,ふわふわ,SOFT,FLUFFY,iconic,rizyu|gityu|nitsu,247
9,katai,かたい,HARD,HARD,iconic,nuhua|zuwua|ruyua,248
9,pyoNpyoN,ぴょんぴょん,HOPPING,BOUNCING|HOPPING,iconic,neQ|zeQ|reQ,249
9,hisohiso,ひそひそ,WHISPERING,WHISPERING,iconic,nake|dzame|zyage,250
9,tyikatyika,ちかちか,PRICKLING,PRICKLING|TINGLING,iconic,wanu|yazu|garu,251
9,sukoi,すこい,CUNNING,CUNNING|SLY|SNEAKY,iconic,kinea|mizea|girea,252
9,hotoru,ほとる,HUMID,HUMID|MUGGY,iconic,nehehi|dzewekyi|zyeyeki,253
9,zukizuki,ずきずき,POUNDING (HEAD),POUNDING (e.g. headache)|THROBBING (e.g. headache),iconic,gina|kyiza|kira,254
9,futoi,ふとい,BIG,BIG|MASSIVE|LARGE|HUGE,iconic,rihea|giwea|niyea,255
