form,item,meaning,iconic,foils
syakiQ,trial,LIVELY|ENERGETIC,y,runaN|nuzaN|muraN
zyizyimusai,trial,SCRUFFY|TATTY|RAGGEDY,y,mamatyikua|wawasimua|hahasyigua
urusai,trial,LOUD|NOISY,y,ihikua|ikyimua|ikigua
yaNdagunaruQ,trial,ANNOYED|IMPATIENT,y,tuQwurisyuhiQ|tyuQyusikukyiQ|tsuQhutyihukiQ
pokapoka,trial,WARM,y,syenu|wezu|yeru
guNnari,trial,EXHAUSTED|TIRED|WEARY,y,riQsyuha|siQkukya|tyiQhuka
nuQka,trial,HOT,y,syinu|kizu|hiru
zukizuki,trial,THROBBING|PULSATING,y,gina|kyiza|kira
syobosyobo,trial,"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)",y,retye|nehe|mesye
yarakai,trial,SOFT|SQUISHY,y,tuhunua|tyukyuzua|tsukurua
karai,trial,SPICY,y,nuhua|zukyua|rukua
moyamoya,trial,FUZZY|BLURRY|HAZY,y,tyetu|setyu|syetsu
nukui,trial,WARM,y,syinia|kizia|hiria
kowa,trial,SCARY|FRIGHTENING,y,nezyu|zetyu|retsu
syikasyika,trial,ITCHING|PRICKLING,y,ranu|nazu|maru
syiNdo,trial,EXHAUSTED|TIRED|WEARY,y,raQwe|naQye|maQhe
kubiru,trial,BIND|TIGHTEN,n,nityahi|zihakyi|risyaki
kaii,trial,PRICKLING|TINGLING,n,nua|zua|rua
hiru,trial,DRY|PARCHED,n,nahi|dzakyi|zyaki
tagee,trial,LOUD|NOISY,n,huro|wuso|yutyo
kusuguQtee,trial,TICKLING,n,nikiriho|zimisiwo|rigityiyo
arai,trial,ROUGH|GRITTY|COARSE,n,uhua|ukyua|ukua
utsukusyi,trial,CLEAN|TIDY,n,ihinira|iwizina|iyirima
ookii,trial,ROUGH|GRITTY|COARSE,n,ena|eza|era
kudoi,trial,SALTY|BRINY (taste),n,niwea|ziyea|rihea
tyikatyika,trial,PRICKLING|TINGLING,y,wanu|yazu|garu
sukoi,trial,CUNNING|SLY|SNEAKY,y,kinea|mizea|girea
hotoru,trial,HUMID|MUGGY,y,nehehi|dzewekyi|zyeyeki
zukizuki,trial,POUNDING (e.g. headache)|THROBBING (e.g. headache),y,gina|kyiza|kira
futoi,trial,BIG|MASSIVE|LARGE|HUGE,y,rihea|giwea|niyea
ookii,trial,LOUD|NOISY,y,ena|eza|era
nigai,trial,BITTER|ACRID,y,syarua|kasua|hatyua
dokidoki,trial,POUNDING (e.g. headache)|THROBBING (e.g. headache),y,wena|yeza|hera
syoQpee,trial,SALTY|BRINY (taste),y,resyo|newo|meyo
tyoQto,trial,A LITTLE|SLIGHTLY,y,wehe|yewe|geye
komaka,trial,THIN|SLENDER,y,netyunu|zesuzu|resyuru
marui,trial,ROUND|CIRCULAR,y,tyuhia|sukyia|syukia
haku,trial,SPIT|VOMIT,y,nuni|dzuzi|zyuri
syiQketoru,trial,WET|SOGGY|DAMP,y,ranohehi|nazowekyi|maroyeki
zyireQtai,trial,ANNOYED|IMPATIENT,y,mahohua|wakyowua|hakoyua
noroi,trial,SLOW,y,syehea|kekyea|hekea
tairana,trial,FLAT|SMOOTH,n,huahusyu|wuakyuku|yuakuhu
mutsugoi,trial,OILY/HEAVY (food),n,tyihirea|siwisea|syiyityea
hiroi,trial,SPACIOUS|WIDE,n,nahea|dzakyea|zyakea
hizurasyii,trial,GLARING (light)|BLINDING (light),n,nagihura|dzakyikyuna|zyakikuma
omosyaiN,trial,GLAD|HAPPY,n,etyeruaQ|esenuaQ|esyemuaQ
hosoi,trial,THIN|SLENDER,n,nekea|dzemea|zyegea
naku,trial,CRY|WAIL,n,syuni|kuzi|huri
bisyoQtanee,trial,SCRUFFY|TATTY|RAGGEDY,n,tyarehusyo|hanewuko|syameyuho
futoi,trial,ROUGH|GRITTY|COARSE,n,rihea|giwea|niyea
zyikuzyiku,trial,HUMID|MUGGY,y,mani|wazi|hari
tyiNtye,trial,THIN|SLENDER,y,waQwo|yaQyo|gaQgo
dayai,trial,SLUGGISH|LETHARGIC,y,wutua|yutyua|hutsua
atsukamasyii,trial,RUDE|ARROGANT|BRAZEN,y,uhinutyura|uwizusuna|uyirusyuma
atsui,trial,HOT,y,uhia|uwia|uyia
nureru,trial,WET|SOGGY|DAMP,y,syihohi|kikyokyi|hikoki
syaN,trial,CLEAR|REFRESHED,y,ruQ|nuQ|muQ
samisyii,trial,SAD|GLUM,y,kutyara|musana|gusyama
syimiru,trial,FREEZE,y,ratyahi|nasakyi|masyaki
usui,trial,BLAND (taste)|TASTELESS|WATERY (taste),y,ikia|imia|igia
syikusyiku,trial,CRAMPING (e.g. in stomach)|SPASMING (e.g. in stomach),y,rani|nazi|mari
toroi,trial,SLOW,y,hehea|wekyea|yekea
zokuzoku,trial,(SPINE) TINGLING| SHIVERS (DOWN YOUR SPINE),y,geni|kyezi|keri
yaQkoi,trial,SOFT|SQUISHY,y,tunea|tyuzea|tsurea
hirihiri,trial,BURNING|TINGLING,y,naha|dzakya|zyaka
kiNkiN,trial,COLD|CHILLY,y,naQ|zaQ|raQ
ezui,trial,SCARY|FRIGHTENING,n,ogia|okyia|okia
amai,trial,BLAND (taste)|TASTELESS|WATERY (taste),n,utyua|usua|usyua
biNbogena,trial,SCRUFFY|TATTY|RAGGEDY,n,tyaQtyerosyu|haQhesoku|syaQsyetyohu
gurasyi,trial,SAD|GLUM,n,rihura|sikyuna|tyikuma
kosobai,trial,TICKLING,n,neketyua|zemehua|regesyua
mabaii,trial,GLARING (light)|BLINDING (light),n,tyutyua|suhua|syusyua
doNkusai,trial,SLOW,n,weQnikua|yeQzimua|heQrigua
syitsukoi,trial,OILY/HEAVY (food),n,rahinea|nawizea|mayirea
misuborasyii,trial,SCRUFFY|TATTY|RAGGEDY,n,tyakityehura|samihekyuna|syagisyekuma
haQkiri,trial,CLEAR|REFRESHED,y,nunaha|dzuzakya|zyuraka
zuQkoi,trial,CUNNING|SLY|SNEAKY,y,ginea|kyizea|kirea
katyikatyi,trial,HARD,y,nuwa|zuya|ruga
syitosyito,trial,WET|SOGGY|DAMP,y,rahe|nawe|maye
naGai,trial,LONG,y,syurua|kusua|hutyua
zyikazyika,trial,"STINGING (pain, e.g. in eyes)|BURNING (pain, e.g. in eyes)",y,manu|wazu|haru
saQpari,trial,CLEAR|REFRESHED,y,kusyuha|muwukya|guyuka
syakiQ,trial,CLEAR|REFRESHED,y,runaN|nuzaN|muraN
zyuruzyuru,trial,OOZING|DRIBBLING|SEEPING OUT (e.g. liquid),y,mihi|wikyi|hiki
dayai,trial,EXHAUSTED|TIRED|WEARY,y,wutua|yutyua|hutsua
adzu,trial,RUDE|ARROGANT|BRAZEN,y,uwi|uyi|uhi
hosoi,trial,SMALL|LITTLE|TINY,y,nekea|dzemea|zyegea
taputapu,trial,SLOSHING|SPLASHING,y,husyi|wuwi|yuyi
zuuzuusyii,trial,RUDE|ARROGANT|BRAZEN,y,gigira|kyikyina|kikima
gatagata,trial,SHAKING|TREMBLING,y,ruhu|suwu|tyuyu
zurui,trial,CUNNING|SLY|SNEAKY,y,gihia|kyikyia|kikia
otorosyii,trial,SCARY|FRIGHTENING,n,ehehera|ewekyena|eyekema
himozyii,trial,HUNGRY|STARVING,n,natyema|dzasewa|zyasyeha
sekarasyika,trial,LOUD|NOISY,n,konuhuranu|mozukyunazu|gorukumaru
syibaru,trial,BIND|TIGHTEN,n,ratyuhi|nahukyi|masyuki
tsukareta,trial,EXHAUSTED|TIRED|WEARY,n,hinuhohu|wizukyowu|yirukoyu
aburaQkoi,trial,OILY/HEAVY (food),n,utyihunea|uhikyuzea|usyikurea
komaNka,trial,TIGHT|PINCHING,n,netyuQnu|zesuQzu|resyuQru
setsunai,trial,SAD|GLUM,n,kohisyua|mowikua|goyihua
herakoi,trial,CUNNING|SLY|SNEAKY,n,nohunea|dzokyuzea|zyokurea
kebutai,trial,SMOKY,n,notyihua|zohiwua|rosyiyua
hayai,trial,FAST|QUICK|SPEEDY,y,nutua|dzutyua|zyutsua
komai,trial,SMALL|LITTLE|TINY,y,netyua|zesua|resyua
zyitozyito,trial,WET|SOGGY|DAMP,y,mahe|wawe|haye
syaQkoi,trial,COLD|CHILLY,y,runea|nuzea|murea
tsurutsuru,trial,SLIPPERY|SMOOTH,y,hihi|wikyi|yiki
bakubaku,trial,POUNDING (e.g. headache)|THROBBING (e.g. headache),y,tyuni|huzi|syuri
zyasyizyasyi,trial,ROUGH|GRITTY|COARSE,y,mura|wuna|huma
zaQkuzaQku,trial,ROUGH|GRITTY|COARSE,y,guni|kyuzi|kuri
biQto,trial,A LITTLE|SLIGHTLY,y,tyahe|hawe|syaye
tyiisoo,trial,TIGHT|PINCHING,y,wake|yame|gage
suQkiri,trial,CLEAR|REFRESHED,y,kinaha|mizakya|giraka
bisyobisyo,trial,WET|SOGGY|DAMP,y,tyare|hane|syame
pityipityi,trial,TIGHT|PINCHING,y,syawa|waya|yaga
gutyugutyu,trial,OOZING|DRIBBLING|SEEPING OUT (e.g. liquid),y,riwi|siyi|tyigi
syibui,trial,SOUR|ACIDIC,y,ratyia|nahia|masyia
kityii,trial,TIGHT|PINCHING,y,nawa|zaya|raga
kowai,trial,EXHAUSTED|TIRED|WEARY,n,nezyua|zetyua|retsua
hadagu,trial,RAP (at the door)|KNOCK (at the door),n,nuwuri|dzuyusi|zyuhutyi
narui,trial,FLAT|SMOOTH,n,syuhia|kukyia|hukia
egarai,trial,PRICKLING|TINGLING,n,oruhua|osukyua|otyukua
osorosyii,trial,SCARY|FRIGHTENING,n,ekehera|emekyena|egekema
dogitsuka,trial,OILY/HEAVY (food),n,werahinu|yesawizu|hetyayiru
kitanai,trial,CUNNING|SLY|SNEAKY,n,nahusyua|zawukua|rayuhua
kogoru,trial,FREEZE,n,nerehi|zesekyi|retyeki
nobude,trial,RUDE|ARROGANT|BRAZEN,n,syetyiwo|kehiyo|hesyiho
ikiru,trial,HUMID|MUGGY,n,anahi|azakyi|araki
